Rank;Name;Flags;Score;Federation;Gender;Rating;TPR;W-We;BH;SB
1;"Philip Westerduin";;3.0;   ;M;1988;2641;+0.94; 5.0; 5.0
2;"Lendert Van den Ouden";;3.0;   ;M;2131;2535;+0.25; 4.5; 4.5
3;"Maurits Bons";;3.0;;M;1773;2599;+1.59; 4.5; 4.5
4;"Paul Hummel";;3.0;   ;M;2191;2637;+0.34; 4.0; 4.0
5;"Rachid Schrik";;3.0;   ;M;2097;2678;+0.72; 4.0; 4.0
6;"Aileshwar Ramcharan";;3.0;   ;M;1747;2322;+0.72; 4.0; 4.0
7;"Frank Verkooijen";;2.5;;M;2039;2197;+0.53; 4.5; 3.75
8;"Bert van der Marel";;2.5;;M;2081;2053;+0.02; 4.5; 3.5
9;"Adrie Borrenans";;2.5;;M;2000;1940;-0.10; 4.0; 3.25
10;"Jaume Gotes Perez";;2.5;;M;1940;1980;+0.18; 3.5; 3.25
11;"Chingthang Ngangbam";;2.5;;M;1992;2104;+0.37; 3.5; 2.75
12;"Ton Bodaan";;2.0;   ;M;1978;2034;+0.31; 6.5; 4.25
13;"Dorus Brouwer";;2.0;   ;M;1680;1759;+0.42; 6.0; 3.0
14;"Jungbin Lee";;2.0;;M;2011;2034;+0.09; 5.5; 3.75
15;"Joaquin Aarts";;2.0;;M;2123;1990;-0.38; 5.0; 3.0
16;"Henk Ochtman";;2.0;   ;M;2034;2076;+0.29; 5.0; 2.0
17;"Andre Wagner";;2.0;   ;M;1868;1930;+0.36; 5.0; 2.0
18;"Kamar Muhannad";;2.0;;M;1922;1938;+0.18; 5.0; 2.0
19;"Machiel van Soest";;2.0;;M;500;1025;+1.76; 5.0; 2.0
20;"Willem de Koster";;2.0;   ;M;1837;1562;-0.76; 4.0; 2.0
21;"Jona can de Poel";;2.0;;M;1959;1917;-0.14; 4.0; 2.0
22;"Ben Spierings";;2.0;;M;1875;1690;-0.55; 4.0; 2.0
23;"Wouter Doorn";;2.0;;M;1636;1894;+0.95; 4.0; 2.0
24;"Jules Immerzeel";;2.0;   ;M;1576;1686;+0.54; 4.0; 1.0
25;"Bart Kroon";;2.0;   ;M;1839;1934;+0.45; 3.5; 1.5
26;"Wilco van de Velde";;2.0;;M;1782;1774;+0.08; 3.5; 0.5
27;"Paul Koks";;2.0;   ;M;1683;1752;+0.39; 3.0; 2.0
28;"Tony Zhang";;2.0;;M;2202;1802;-0.84; 3.0; 2.0
29;"Rik Langeveld";;2.0;   ;M;1823;1858;+0.24; 3.0; 1.0
30;"Lakshay Narasimhan";;1.5;   ;M;1468;1601;+0.42; 6.5; 2.75
31;"Marti Sans";;1.5;   ;M;1800;1777;+0.02; 5.5; 1.75
32;"Eric Alvares";;1.5;;M;1744;1808;+0.25; 5.5; 1.75
33;"Lennard de Korver";;1.5;   ;M;1574;1781;+0.34; 5.0; 1.75
34;"Vincent Geerlings";;1.5;   ;M;1912;1848;-0.14; 5.0; 1.25
35;"Jelmer Wiegel";;1.5;   ;M;1000;1173;+0.58; 4.5; 1.25
36;"Leon Mau-Asam";;1.5;   ;M;1925;1858;-0.14; 4.5; 1.0
37;"Peter de Korver";;1.5;   ;M;2018;1670;-1.14; 4.5; 0.75
38;"Leo Bolle";;1.5;   ;M;1936;1773;-0.53; 4.0; 0.75
39;"Varun Kumar";;1.5;;M;1000;1267;+0.84; 3.5; 1.25
40;"Jie-Ren Tjin A Lien";;1.0;   ;M;1802;1867;+0.14; 7.5; 2.0
41;"Lothar van der Sluijs";;1.0;;M;1864;1748;-0.48; 7.0; 2.0
42;"Daan Wille";;1.0;;M;1928;1838;-0.39; 6.0; 1.0
43;"Jaco Arkensteijn";;1.0;;M;1766;1797;+0.01; 6.0; 1.0
44;"Floris Graveland";;1.0;;M;1200;1331;+0.30; 6.0; 1.0
45;"Hans Mes";;1.0;;M;1704;1704;-0.11; 6.0; 1.0
46;"Barend Lavrijsen";;1.0;;M;1540;1472;-0.25; 6.0; 1.0
47;"Koen Simonides";;1.0;;M;1200;1475;+0.76; 5.0; 1.0
48;"Ruben van Bussel";;1.0;;M;1735;1580;-0.59; 5.0; 0.0
49;"Rene Weerts";;1.0;;M;1733;1507;-0.82; 5.0; 0.0
50;"Rithanya Ragesh";;1.0;   ;F;1524;1436;-0.35; 4.5; 0.0
51;"Martin Wiersma";;1.0;   ;M;1804;1541;-0.93; 4.0; 0.0
52;"Thomas Bohner";;1.0;;M;1284;1303;-0.06; 4.0; 0.0
53;"Parv Garg";;1.0;   ;M;1357;1361;-0.09; 3.5; 0.0
54;"Ralph van der Burg";;1.0;;M;0;1483;1483; 3.5; 0.0
55;"Dakshesh N. Neelakantan";;1.0;   ;M;1658;1400;-0.92; 3.0; 0.0
56;"Sebastiaan Steenbergh";;1.0;   ;M;1424;1392;-0.16; 3.0; 0.0
57;"Ike Tjin A Lien";;1.0;   ;M;1776;1565;-0.73; 2.0; 0.0
58;"Kaya Grguric";;1.0;   ;M;1169;1045;-0.48; 2.0; 0.0
59;"Tom van Boheemen";;0.5;   ;M;1782;1498;-0.94; 6.5; 1.25
60;"Kees Roest";;0.5;   ;M;1000;1034;+0.00; 4.0; 0.25
61;"Ans van Soest";;0.5;;F;1120;900;-0.90; 4.0; 0.25
62;"Sylvia van den Berg";;0.0;   ;F;500;100;-0.24; 4.5; 0.0
63;"Chris van den Berg";;0.0;   ;M;500;100;-0.24; 4.5; 0.0
64;"Rene Weerts";;1.0;;M;1733;1507;-0.82; 5.0; 0.0
65;"Floris van der Kellen";;0.0;   ;M;1048;648;-0.16; 4.0; 0.0
66;"Gayathri Rathna Subramania";;0.0;   ;M;1013;346;-1.08; 4.0; 0.0
67;"Mavin de Moulin";;0.0;   ;M;916;505;-0.26; 4.0; 0.0
68;"Rogier Wolff";;0.0;   ;M;600;200;-0.24; 4.0; 0.0
